,Unnamed: 0,Адрес обращения,Дом,Дата,текст обращения,ids,listTextAppealLem
35,35,улица Коммунистическая,24,2021-06-09 12:25:54.874,"Прошу принять меры в отношении жильцов нашего дома, т.к. выбрасывают мусор прямо из окон квартир верхних этажей. Вокруг дома полное антисанитария, просим принят меры за бездействие к УК. В зимнее время гололед, сосульки не огораживают, уборка подъезда очень редко.",10035,"['просить', 'принимать', 'мера', 'отношение', 'жилец', 'наш', 'дом', 'т', 'выбрасывать', 'мусор', 'прямо', 'окно', 'квартира', 'верхний', 'этаж', 'вокруг', 'дом', 'полный', 'антисанитария', 'просить', 'принимать', 'мера', 'бездействие', 'ук', 'зимний', 'время', 'гололед', 'сосулька', 'огораживать', 'уборка', 'подъезд', 'очень', 'редко']"
36,36,улица Яноушека,1,2021-06-05 21:55:56.499,дет.площадку,10036,"['дет', 'площадка']"
37,37,улица П.В.Дементьева,18 корп. 3,2021-06-08 09:38:54.429,"парк, заменить покрытие дет.площадки, увеличить парковку",10037,"['парк', 'заменять', 'покрытие', 'дет', 'площадка', 'увеличивать', 'парковка']"
38,38,улица Ленинского Комсомола,24 корп. 2,2021-06-14 13:27:00.829,"Срубить старые деревья!
Чтобы парковка была не рядом с детской площадкой!
Установить видеонаблюдение!",10038,"['срубать', 'старый', 'дерево', '!', 'парковка', 'рядом', 'детский', 'площадка', '!', 'устанавливать', 'видеонаблюдение', '!']"
39,39,улица Энгельса,1 корп. 2,2021-06-09 11:40:44.105,сделать ремонт дорог вокруг домов 1к1 1к2 1к3 по энгельса,10039,"['сделать', 'ремонт', 'дорога', 'вокруг', 'дом', '1к1', '1к2', '1к3', 'энгельс']"
40,40,проспект Тракторостроителей,45,2021-06-10 03:44:26.715,Парковка,10040,['парковка']
41,41,проспект Мира,90,2021-06-09 11:01:14.871,"Поменять на этажах балконные двери, поставить пластиковые окна,домофон.",10041,"['поменять', 'этаж', 'балконный', 'дверь', 'поставлять', 'пластиковый', 'окно', 'домофон']"
42,42,улица Шумилова,12 корп. 1,2021-06-13 00:39:30.588,"Благоустроить детскую площадку, дополнить детскими качелями, тренажёрами.",10042,"['благоустраивать', 'детский', 'площадка', 'дополнять', 'детский', 'качели', 'тренажер']"
43,43,улица Чернышевского,6,2021-06-11 12:23:52.565,"Починить тротуар во дворе, сделать тротуар, жэк не реагирует, нужно поменять окна в подъезде.
Не убирают падающее дерево во дворе, ждут пока оно упадет на машину.
Вертикаль не реагирует на заявку
Отремонтировать дорогу в сторону кладбища, вдоль завода, невозможно проехать",10043,"['починять', 'тротуар', 'двор', 'сделать', 'тротуар', 'жэк', 'реагировать', 'нужно', 'поменять', 'окно', 'подъезд', 'убирать', 'падать', 'дерево', 'двор', 'ждать', 'пока', 'оно', 'упасть', 'машина', 'вертикаль', 'реагировать', 'заявка', 'отремонтировать', 'дорога', 'сторона', 'кладбище', 'вдоль', 'завод', 'невозможно', 'проехать']"
44,44,проспект 9-й Пятилетки,30,2021-06-12 08:53:03.268,Перенос проезжей части ближе к соседнему дому,10044,"['перенос', 'проезжий', 'часть', 'близко', 'соседний', 'дом']"
45,45,улица Терешковой,6,2021-06-10 15:08:39.304,-,10045,[]
46,46,улица Терешковой,17,2021-06-12 09:03:42.449,Просим установить лежачий полицейский и детскую площадку,10046,"['просить', 'устанавливать', 'лежачий', 'полицейский', 'детский', 'площадка']"
47,47,улица Космонавта Николаева А.Г.,48,2021-06-07 12:43:51.041,"Благоустройство территории
Детская площадка",10047,"['благоустройство', 'территория', 'детский', 'площадка']"
48,48,улица 50 лет Октября,4,2021-06-08 12:06:02.402,"Ремонт подъезда
Ремонт дорог",10048,"['ремонт', 'подъезд', 'ремонт', 'дорогой']"
49,49,улица К.Либкнехта,13,2021-06-06 22:17:35.859,Проложить асфальтовую дорогу. Навести порядок на контейнерной площадке.,10049,"['пролагать', 'асфальтовый', 'дорога', 'навещать', 'порядок', 'контейнерный', 'площадка']"
50,50,улица Эльгера,26,2021-06-12 17:08:05.862,Поменять коммуникационный стояк. ,10050,"['поменять', 'коммуникационный', 'стояк']"
51,51,улица И.П.Прокопьева,16,2021-06-09 00:05:19.579,Жалоб нет,10051,['жалоба']
52,52,улица 1-ая Путепроводная,245,2021-06-09 00:46:51.865,"Просьба помощи в оформлении земельных участков. Деньги юристам уплачены, но администрация не дает добро",10052,"['просьба', 'помощь', 'оформление', 'земельный', 'участок', 'деньги', 'юрист', 'уплачивать', 'администрация', 'давать', 'добро']"
53,53,улица Гагарина Ю.,30,2021-06-08 15:33:03.381,"Ремонт тротуара
Ремонт крыльца",10053,"['ремонт', 'тротуар', 'ремонт', 'крыльцо']"
54,54,улица Терешковой,12,2021-06-10 12:57:36.461,"Дезинфекция тараканов, клопов, ремонт подъездов",10054,"['дезинфекция', 'таракан', 'клоп', 'ремонт', 'подъезд']"
55,55,улица Солнечная,26,2021-06-05 15:49:29.672,"Уменьшить пенсионный возраст, увеличить размер минимальной зарплаты",10055,"['уменьшать', 'пенсионный', 'возраст', 'увеличивать', 'размер', 'минимальный', 'зарплата']"
56,56,бульвар Гидростроителей,2,2021-06-14 14:38:17.807,"Сделать дорогу, ремонт лифтов и подъездов",10056,"['сделать', 'дорога', 'ремонт', 'лифт', 'подъезд']"
57,57,улица Текстильщиков,12,2021-06-06 20:28:39.508,Капитальный ремонт в подъезде,10057,"['капитальный', 'ремонт', 'подъезд']"
58,58,улица Чернышевского,26,2021-06-07 19:53:57.806,Сделать ремонт придомовой дороги по ул. Чернышевского 26,10058,"['сделать', 'ремонт', 'придомовый', 'дорога', 'ул', 'чернышевский', '26']"
59,59,улица Коммунистическая,26,2021-06-10 14:42:07.505,МАФ,10059,['маф']
60,60,улица 50 лет Октября,17,2021-06-09 20:05:25.168,-,10060,[]
61,61,улица Николая Гастелло,9,2021-06-08 16:03:09.291,Обновить детскую площадку,10061,"['обновлять', 'детский', 'площадка']"
62,62,улица Богдана Хмельницкого,37,2021-06-17 13:05:34.529,Установить детскую площадку,10062,"['устанавливать', 'детский', 'площадка']"
63,63,проспект Мира,36,2021-06-06 19:02:22.911,"Парковка
Ремонт в подъезде
Асфальтирование дороги ",10063,"['парковка', 'ремонт', 'подъезд', 'асфальтирование', 'дорога']"
64,64,улица Коммунистическая,22,2021-06-07 18:50:35.162,"Отремонтировать двор до конца.
Засеять газонную траву.
Ликвидировать парковку",10064,"['отремонтировать', 'двор', 'конец', 'засеивать', 'газонный', 'трава', 'ликвидировать', 'парковка']"
65,65,улица Эльгера,14,2021-06-08 21:39:38.509,Обновить детскую площадку ,10065,"['обновлять', 'детский', 'площадка']"
66,66,проспект Мира,23,2021-06-09 11:31:53.824,не приходят газеты Про город больше месяца,10066,"['приходить', 'газета', 'город', 'месяц']"
67,67,проспект Тракторостроителей,54,2021-06-06 16:33:17.513,Засыпать торфом вдоль отремонтированных дорожек у домов 54 и 52,10067,"['засыпать', 'торф', 'вдоль', 'отремонтировать', 'дорожка', 'дом', '54', '52']"
68,68,улица Парижской Коммуны,2,2021-06-06 01:20:15.458,дет.площадка для дете постарше,10068,"['дет', 'площадка', 'дет', 'старший']"
69,69,бульвар Зеленый,10,2021-06-12 09:27:11.961,Обновить детскую площадку во дворе,10069,"['обновлять', 'детский', 'площадка', 'двор']"
70,70,"улица д. Чандрово, ул. Чандровская",71,2021-06-10 22:45:02.219,"Отремонтировать клуб, проложить асфальт по всей дороге и тротуар, аптечный павильон, провести интернет",10070,"['отремонтировать', 'клуб', 'пролагать', 'асфальт', 'весь', 'дорога', 'тротуар', 'аптечный', 'павильон', 'проводить', 'интернет']"
71,71,улица Университетская,28,2021-06-08 21:09:51.156,Нужна детская площадка. ,10071,"['нужный', 'детский', 'площадка']"
72,72,улица Привосточная,23,2021-06-09 22:46:48.000,-,10072,[]
73,73,улица Константина Иванова,79/16,2021-06-07 16:09:37.771,сделать ремонт в подъезде в доме давно никто не убирает,10073,"['сделать', 'ремонт', 'подъезд', 'дом', 'давно', 'никто', 'убирать']"
74,74,улица Космонавта Николаева А.Г.,30 корп. 1,2021-06-14 00:16:31.328,Нужна детская площадка,10074,"['нужный', 'детский', 'площадка']"
75,75,улица Космонавта Николаева А.Г.,46 корп. 1,2021-06-07 13:38:07.310,Ремонт дорог во дворе,10075,"['ремонт', 'дорогой', 'двор']"
76,76,улица Эльгера,26,2021-06-08 22:15:06.376,Здоровья нашему кандидату и долгих лет жизни,10076,"['здоровье', 'наш', 'кандидат', 'долгий', 'год', 'жизнь']"
77,77,улица Декабристов,16,2021-06-05 19:42:59.922,Ремонт дорог во дворе,10077,"['ремонт', 'дорогой', 'двор']"
78,78,улица Красина,10,2021-06-05 11:46:03.069,Благоустройство двора по адресу ул. Красина 10. В стоках с крыши привести порядок возле 2 и 3 подъездов.,10078,"['благоустройство', 'двор', 'адрес', 'ул', 'красин', '10', 'сток', 'крыша', 'приводить', 'порядок', 'возле', '2', '3', 'подъезд']"
79,79,проспект 9-й Пятилетки,24,2021-06-13 01:11:50.541,"Деревья, которые сильно сгибаются, есть вероятность, что при сильном ветре могу упасть на людей. Хотим, чтобы их срезали.",10079,"['дерево', 'который', 'сильно', 'сгибаться', 'вероятность', 'сильный', 'ветер', 'мочь', 'упасть', 'человек', 'хотеть', 'срезать']"
80,80,проспект 9-й Пятилетки,24,2021-06-13 01:16:37.128,"Дороги чтобы были без ям во дворах, очень давно не было ремонта. В нашем доме доме был в 2020 году ремонт, откосы не сделаны. По периметру дома хотим, чтобы поставили ограждения, чтобы машины не заезжали.",10080,"['дорога', 'яма', 'двор', 'очень', 'давно', 'ремонт', 'наш', 'дом', 'дом', '2020', 'год', 'ремонт', 'откос', 'сделать', 'периметр', 'дома', 'хотеть', 'поставлять', 'ограждение', 'машина', 'заезжать']"
81,81,улица К.Либкнехта,46,2021-06-06 22:22:54.864,Построить дорогу по улице Либкнехта.,10081,"['построить', 'дорога', 'улица', 'либкнехт']"
82,82,улица Терешковой,14,2021-06-10 14:38:51.129,"Обработка подвала, очистит вытяжки от голубиных гнезд. Ремонт подъезда. Почему отменили остановку у ""Кристалла""? ",10082,"['обработка', 'подвал', 'очищать', 'вытяжка', 'голубин', 'гнездо', 'ремонт', 'подъезд', 'почему', 'отменять', 'остановка', ' ""', 'кристалл', '""']"
83,83,улица Лебедева,1,2021-06-12 16:19:15.339,Обустроить детскую площадку по адресу улица Лебедева дом 1.,10083,"['обустраивать', 'детский', 'площадка', 'адрес', 'улица', 'лебедев', 'дом', '1']"
84,84,улица Винокурова,71,2021-06-08 20:53:04.416,Сделать бордюры. Отдельно сделать выгул для собак. Сделать спортивные тренажеры.,10084,"['сделать', 'бордюр', 'отдельно', 'сделать', 'выгул', 'собака', 'сделать', 'спортивный', 'тренажер']"
85,85,бульвар Эгерский,16 корп. 1,2021-06-06 21:48:02.034,Принять меры по поводу почернения овощей на дачах,10085,"['принимать', 'мера', 'повод', 'почернение', 'овощ', 'дача']"
86,86,улица Эльгера,16,2021-06-14 14:37:10.699,"Ремонт подъезда, стоянка с торца, дорога спуск от 16 дома до шк. 39",10086,"['ремонт', 'подъезд', 'стоянка', 'торец', 'дорога', 'спуск', '16', 'дом', 'шк', '39']"
87,87,улица Чапаева,5,2021-06-08 20:30:53.038,"Хочу чтоб поставили новую детскую площадку между Чапаева д 5 и Чапаева д 5к1,детям негде играть.",10087,"['хотеть', 'поставлять', 'новый', 'детский', 'площадка', 'чапаев', 'д', '5', 'чапаев', 'д', '5к1', 'ребенок', 'негде', 'играть']"
88,88,улица Хевешская,9,2021-06-08 18:46:57.747,вдоль гаражей отремонтировать дорогу,10088,"['вдоль', 'гараж', 'отремонтировать', 'дорога']"
89,89,бульвар А.Миттова,41,2021-06-12 10:11:26.678,Сделать косметический ремонт в подъезде и заменить лифты (в ужасном состоянии),10089,"['сделать', 'косметический', 'ремонт', 'подъезд', 'заменять', 'лифт', ' (', 'ужасный', 'состояние']"
90,90,улица Коммунистическая,24,2021-06-09 11:59:39.702,-,10090,[]
91,91,улица Ахазова,6,2021-06-12 16:24:59.881,"Ремонт труб, заменить на новые. Площадка для детей. Парковка. Вырубить деревья. ",10091,"['ремонт', 'труба', 'заменять', 'новый', 'площадка', 'ребенок', 'парковка', 'вырубать', 'дерево']"
92,92,бульвар Речной,3 корп. 1,2021-06-09 07:04:53.483,"Я предлагаю сделать тротуарную дорожку от Речного бульвара до набережной, т.к. дорога после ""Сокола"" заканчивается со стороны Волги и многие люди идут по дороге где ездят машины",10092,"['предлагать', 'сделать', 'тротуарный', 'дорожка', 'речной', 'бульвар', 'набережная', 'т', 'дорога', ' ""', 'сокол', '"" ', 'заканчиваться', 'сторона', 'волга', 'многий', 'человек', 'идти', 'дорога', 'ездить', 'машина']"
93,93,бульвар А.Миттова,25,2021-06-11 11:01:49.485,Прошу установить доп.стоянки для авто около нашего дома,10093,"['просить', 'устанавливать', 'допы', 'стоянка', 'авто', 'около', 'наш', 'дом']"
94,94,бульвар Зеленый,7,2021-06-05 22:30:06.791,"В дворе нет места для мусорных контейнеров. контейнеру катаются по двору, нет парковочных мест для машин, не везде подстригаются переросшие деревью, некачественно отремонтированная крыша дома, подъезд весь в подтеках, плесени, и квартира тоже. В подьезде постоянно горит свет, плохо моют подьезд",10094,"['двор', 'место', 'мусорный', 'контейнер', 'контейнер', 'кататься', 'двор', 'парковочный', 'место', 'машина', 'везде', 'подстригаться', 'перерасти', 'деревивать', 'некачественный', 'отремонтировать', 'крыша', 'дом', 'подъезд', 'весь', 'подтек', 'плесень', 'квартира', 'подьезде', 'постоянно', 'гореть', 'свет', 'плохо', 'мыть', 'подьезд']"
95,95,улица 10 Пятилетки,13,2021-06-12 07:19:02.615,"Облагородить игровую площадку для детей. поставить дополнительные качели, горки.
Установить скамейки возле подъездов",10095,"['облагораживать', 'игровой', 'площадка', 'ребенок', 'поставлять', 'дополнительный', 'качели', 'горка', 'устанавливать', 'скамейка', 'возле', 'подъезд']"
96,96,бульвар Речной,4 корп. 3,2021-06-09 09:32:22.335,"Дороги и пенсия повышения, парковки",10096,"['дорога', 'пенсия', 'повышение', 'парковка']"
97,97,бульвар Гидростроителей,2,2021-06-14 15:12:49.946,"Ремонт подъезда и домофона, поставить урну, плитки возле подъезда развалились",10097,"['ремонт', 'подъезд', 'домофон', 'поставлять', 'урна', 'плитка', 'возле', 'подъезд', 'разваливаться']"
98,98,улица Мате Залка,11,2021-06-07 09:12:55.394,Прошу установить площадку для детей по адресу М.Залка 11-178,10098,"['просить', 'устанавливать', 'площадка', 'ребенок', 'адрес', 'м', 'залка', '11', '-', '178']"
99,99,проспект Мира,88Б,2021-06-12 17:43:29.150,Благоустройство территории от подземного перехода до нового автовокзала.,10099,"['благоустройство', 'территория', 'подземный', 'переход', 'новый', 'автовокзал']"
100,100,проспект Тракторостроителей,71,2021-06-08 21:21:00.148,"Заняться газонами, ввести штрафы за хождение по ним",10100,"['заниматься', 'газон', 'вводить', 'штраф', 'хождение']"
101,101,улица 1-ая Путепроводная,37 корп. А,2021-06-09 02:23:07.866,"Сделать дорогу, провести свет, построить детские площадки",10101,"['сделать', 'дорога', 'проводить', 'свет', 'построить', 'детский', 'площадка']"
102,102,проспект Тракторостроителей,5,2021-06-07 00:20:01.278,"Шум возле кафе ""Парковка""",10102,"['шум', 'возле', 'кафе', ' ""', 'парковка']"
103,103,улица Комсомольская,22,2021-06-14 12:13:08.815,"Своевременно делать капремонт в домах, контроль за проведением капремонтов ",10103,"['своевременно', 'делать', 'капремонт', 'дом', 'контроль', 'проведение', 'капремонт']"
104,104,улица Пролетарская,5,2021-06-07 21:49:23.020,Обустроить детскую площадку. Асфальтировать дорогу во дворе.,10104,"['обустраивать', 'детский', 'площадка', 'асфальтировать', 'дорога', 'двор']"
105,105,улица Пролетарская,5,2021-06-05 22:34:18.284,Обустроить детскую площадку. Асфальтировать дорогу во дворе.,10105,"['обустраивать', 'детский', 'площадка', 'асфальтировать', 'дорога', 'двор']"
106,106,улица Кадыкова,11,2021-06-08 20:24:47.403,Сделать дорогу,10106,"['сделать', 'дорога']"
107,107,улица Винокурова,33,2021-06-06 20:55:27.271,"1. В подъезде воняет, просьба устранить неприятный запах из подвала подъезда 4.
2. Отремонтировать дорогу во дворе дома",10107,"['1', 'подъезд', 'вонять', 'просьба', 'устранять', 'неприятный', 'запах', 'подвал', 'подъезд', '4', '2', 'отремонтировать', 'дорога', 'двор', 'дом']"
108,108,бульвар А.Миттова,27,2021-06-11 09:07:41.893,"Хотелось бы, чтобы рядом с домом был установлен терминал ""Сбербанк""(снять и положить деньги) и ВТБ",10108,"['хотеться', 'рядом', 'дом', 'устанавливать', 'терминал', ' ""', 'сбербанк', '""(', 'снимать', 'полагать', 'деньги', ') ', 'втб']"
109,109,проспект Тракторостроителей,67,2021-06-10 01:59:16.044,"Снижение цен на потребительские товары и проезд по городу. Льготы на лекарства, медицинское обслуживание",10109,"['снижение', 'цена', 'потребительский', 'товар', 'проезд', 'город', 'льгота', 'лекарство', 'медицинский', 'обслуживание']"
110,110,улица Композитора Максимова,2,2021-06-10 15:00:11.875,"дорги по аллее, вокруг дома",10110,"['дорги', 'аллея', 'вокруг', 'дом']"
111,111,бульвар Юности,19,2021-06-08 19:25:47.428,"Дорога плохая возле дома, требует ремонта. Освещение по аллее ",10111,"['дорога', 'плохой', 'возле', 'дом', 'требовать', 'ремонт', 'освещение', 'аллея']"
112,112,улица 10 Пятилетки,46,2021-06-09 23:29:14.080,"Благоустройство 10-й Пятилетки. Установите дорожный знак ""Остановка запрещена"" на повороте с ул. 10-й Пятилетки к магазину ""Синешубашкар""",10112,"['благоустройство', '10', '-', 'й', 'пятилетка', 'устанавливать', 'дорожный', 'знак', ' ""', 'остановка', 'запрещать', '"" ', 'поворот', 'ул', '10', '-', 'й', 'пятилетка', 'магазин', ' ""', 'синешубашкар']"
113,113,проспект Мира,37,2021-06-08 21:27:38.595,"убрать строительный мусор у д 37 по пр.мира , обгородить двор, построить детскую площадку ",10113,"['убирать', 'строительный', 'мусор', 'д', '37', 'пр', 'мир', ' , ', 'обгораживать', 'двор', 'построить', 'детский', 'площадка']"
114,114,улица Космонавта Николаева А.Г.,40 корп. 1,2021-06-07 15:41:24.289,"Детская площадка
Лежачий ""Полицейский"" при въезде",10114,"['детский', 'площадка', 'лежачий', ' ""', 'полицейский', '"" ', 'въезд']"
115,115,улица Воинов интернационалистов,11,2021-06-05 15:08:04.717,Сделать почтовые ящики,10115,"['сделать', 'почтовый', 'ящик']"
116,116,проезд Энергетиков,12,2021-06-14 16:06:56.103,Ремонт дорог,10116,"['ремонт', 'дорогой']"
117,117,улица Ахазова,1,2021-06-06 21:33:37.795,"Отремонтировать крышу, поменять лифт. ",10117,"['отремонтировать', 'крыша', 'поменять', 'лифт']"
118,118,бульвар Эгерский,6 корп. 1,2021-06-06 22:05:10.788,Ремонт в подъезде,10118,"['ремонт', 'подъезд']"
119,119,улица Мичмана Павлова,66,2021-06-15 16:54:59.033,Парковочные места во дворе М.Павлова. в школе 48 обновить срочно входные двери и окна и классы,10119,"['парковочный', 'место', 'двор', 'м', 'павлов', 'школа', '48', 'обновлять', 'срочно', 'входной', 'дверь', 'окно', 'класс']"
120,120,бульвар Эгерский,6 корп. 1,2021-06-06 22:11:53.542,Повышении пенсии работающим пенсионерам,10120,"['повышение', 'пенсия', 'работать', 'пенсионер']"
121,121,проспект Мира,90,2021-06-09 11:21:43.100,"Прошу вас поменять на этажах окна,на 1 этаже поменять коммунальную трубу.",10121,"['просить', 'поменять', 'этаж', 'окно', '1', 'этаж', 'поменять', 'коммунальный', 'труба']"
122,122,улица Строителей,23 корп. 1,2021-06-05 10:49:59.672,Во дворе установить спортивную баскетбольную площадку,10122,"['двор', 'устанавливать', 'спортивный', 'баскетбольный', 'площадка']"
